Molecule # Iso Abundance     Q(296K)      gj    Molar Mass(g)   portion d'atm
   H2O (1)
          75  9.94952E-01    9.8480E+03    1     34.005480          0
 C2H2 (26)
          76  9.77599E-01    4.1245E+02    1     26.015650          0
          77  2.19663E-02    1.6562E+03    8     27.019005          0
         105  3.04550E-04    1.5818E+03    6     27.021825          0
 C2H6 (27)
          78  9.76990E-01    7.0883E+04    1     30.046950          0
         105  2.19526E-02    3.6192E+04    2     31.050305          0
  PH3 (28)
          79  9.99533E-01    3.2494E+03    2     33.997238          0
 COF2 (29)
          80  9.86544E-01    7.0028E+04    1     65.991722          0
         119  1.10834E-02    1.4006E+05    2     66.995083          0
  SF6 (30)                                     
         126  .950180E+00    1.6233E+06    1    145.962492          0
  H2S (31)                                                  
          81  9.49884E-01    5.0579E+02    1     33.987721          0
          82  4.21369E-02    5.0435E+02    1     35.983515          0
          83  7.49766E-03    2.0149E+03    4     34.987105          0
HCOOH (32)
          84  9.83898E-01    3.9133E+04    4     46.005480          0
  HO2 (33)
          85  9.95107E-01    4.3004E+03    2     32.997655          0
    O (34)
          86  9.97628E-01    6.7212E+00    1     15.994915          0
ClONO2 (35)                                                  
         127  .749570E+00    4.7884E+06   12     96.956672          0
         128  .239694E+00    4.9102E+06   12     98.953723          0
   NO+ (36)
          87  9.93974E-01    3.1169E+02    3     29.997989          0
  HOBr (37)
          88  5.05579E-01    2.8339E+04    8     95.921076          0
          89  4.91894E-01    2.8238E+04    8     97.919027          0
  C2H4 (38)
          90  9.77294E-01    1.1042E+04    1     28.031300          0
          91  2.19595E-02    4.5197E+04    2     29.034655          0
 CH3OH (39)
          92  9.85930E-01    7.0570E+04    2     32.026215          0
 CH3Br (40)
          93  5.00995E-01    8.3052E+04    4     93.941811          0
          94  4.87433E-01    8.3395E+04    4     95.939764          0
 CH3CN (41)
          95  9.73866E-01    8.8672E+04    3     41.026549          0
   CF4 (42)
          96  9.88890E-01    1.2127E+05    1     87.993616          0
  C4H2 (43)
         116  9.55998E-01    9.8190E+03    1     50.015650          0
  HC3N (44)
         109  9.63346E-01    2.4787E+04    6     51.010899          0
    H2 (45)
